,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
4,Jeremy Sochan,19,25.0,3.7,8.0,0.468,0.4,2.0,0.206,3.3,6.0,1.0,1.7,0.596,4.7,2.4,0.8,0.5,1.5,8.9
5,Joshua Primo,20,23.3,2.3,6.5,0.346,0.8,3.0,0.25,1.5,3.5,1.8,2.3,0.778,3.3,4.5,0.3,0.5,2.8,7.0
6,Josh Richardson,29,22.6,3.6,8.9,0.41,1.6,4.6,0.352,2.0,4.2,1.4,1.6,0.864,2.5,3.0,0.8,0.1,1.6,10.3
7,Zach Collins,25,20.6,3.5,6.3,0.545,0.6,1.6,0.357,2.9,4.7,1.5,2.1,0.704,5.6,2.4,0.4,0.9,2.2,9.0
8,Doug McDermott,31,20.1,3.8,8.2,0.464,1.9,4.8,0.408,1.8,3.4,0.6,0.8,0.741,2.3,1.5,0.1,0.2,1.0,10.1
9,Romeo Langford,23,19.2,2.7,5.6,0.488,0.3,1.3,0.241,2.4,4.3,0.8,1.1,0.68,2.6,1.0,0.7,0.4,0.8,6.5
10,Malaki Branham,19,18.7,2.6,6.1,0.426,1.0,3.1,0.306,1.7,3.0,0.6,0.7,0.824,1.5,1.6,0.4,0.1,1.0,6.8
11,Keita Bates-Diop,27,17.8,2.9,5.6,0.522,0.5,1.3,0.351,2.5,4.3,1.2,1.5,0.81,2.9,0.8,0.6,0.1,0.8,7.5
12,Charles Bassey,22,13.6,2.0,3.0,0.671,0.1,0.3,0.333,2.0,2.8,0.7,1.0,0.667,5.2,1.2,0.3,1.0,1.1,4.9
13,Stanley Johnson,26,13.2,2.2,3.7,0.595,0.6,1.4,0.429,1.6,2.3,0.7,1.1,0.636,2.4,1.8,0.5,0.4,0.9,5.7
14,Gorgui Dieng,33,11.6,1.5,3.7,0.417,0.8,2.5,0.303,0.8,1.2,0.2,0.3,0.75,3.2,2.0,0.1,0.5,0.9,4.1
